path,old_path,status,category,subclass,v29_fate,loc_added,loc_deleted,port_unit
core/lib/multivm/src/versions/vm_virtual_blocks/tests/call_tracer.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/call_tracer.rs,0,88,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/default_aa.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_latest/tests/default_aa.rs,0,70,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/gas_limit.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_latest/tests/gas_limit.rs,0,47,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/get_used_contracts.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/get_used_contracts.rs,0,106,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/invalid_bytecode.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_latest/tests/invalid_bytecode.rs,0,120,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/is_write_initial.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_latest/tests/is_write_initial.rs,0,42,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/l1_tx_execution.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/l1_tx_execution.rs,0,125,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/l2_blocks.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_1_4_1/utils/l2_blocks.rs,0,502,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/mod.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_virtual_blocks/tracers/mod.rs,0,20,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/nonce_holder.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_fast/tests/nonce_holder.rs,0,182,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/refunds.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_1_4_2/tracers/refunds.rs,0,152,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/require_eip712.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/require_eip712.rs,0,161,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/rollbacks.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/rollbacks.rs,0,146,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/simple_execution.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_fast/tests/simple_execution.rs,0,77,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/tester/inner_state.rs,,D,C,deleted-upstream-file,gone,0,119,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/tester/mod.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_virtual_blocks/tracers/mod.rs,0,7,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/tester/transaction_test_info.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/tester/transaction_test_info.rs,0,216,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/tester/vm_tester.rs,,D,C,deleted-upstream-file,gone,0,291,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/tracing_execution_error.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/testonly/tracing_execution_error.rs,0,52,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/upgrade.rs,,D,C,deleted-upstream-file,moved?:core/lib/multivm/src/versions/vm_fast/tests/upgrade.rs,0,344,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tests/utils.rs,,D,C,deleted-upstream-file,moved?:core/node/commitment_generator/src/utils.rs,0,106,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tracers/refunds.rs,,M,B,feature,identical-to-v29,9,7,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/tracers/utils.rs,,M,B,wiring,identical-to-v29,1,2,multivm
